name;spelling;born;country;start_year;end_year;played_1v1;played_tg;voobly_elo;earnings;teams
Nixishin;;;ru;;-1;566;1659;;492.25;
Sir Explosive Hopper;;;us;;-1;168;1309;;491.67;
Capout;;;fr;;-1;1887;1791;;486.32;
LePoséidon;;;fr;;-1;1571;1695;;484.32;
xiaohai;;;cn;;-1;7702;1861;;478.75;LHD
Tointoin;;;fr;;-1;368;1864;;477.24;
GoB;;;fr;;-1;;;;474.37;
kw;;;tw;;-1;1785;3402;;473.11;
Snapy;;;co;;-1;591;930;;471.25;
chaos_2_win;;;de;;-1;2403;1279;;469.24;
PRieST;;;au;;-1;;;;464.29;
MrTempo;;;pe;;-1;4499;1560;;464.29;
Believe_Me;;;by;;-1;;;;462.71;
Adham;Adam,Xhing;;us;;-1;1832;1219;;460.74;
ashleylynn;;;us;;-1;3573;3147;;460.00;
GLX_Rusher;;;tr;;-1;5500;1080;;454.05;
Moczymorda;GeNeRaL_Z;;mt;2003;-1;1454;35;;453.33;Rulers of Rome
Funny_Liquid;;;il;;-1;237;18;;453.30;
roggy;;;tr;;-1;695;1565;;450.83;
Future_;;;de;;-1;;;;450.00;
The Otter One;;;de;;-1;1279;302;;448.18;
darvoi;;;gb;;-1;727;1042;;447.72;
Coffee2019;;;cn;;-1;;;;446.00;
CN-PUPY;;;cn;;-1;;;;446.00;
神八;;;cn;;-1;;;;446.00;
Stefan;;;de;;-1;153;227;;445.61;
_qiu;;;cn;;-1;;;;442.14;
champsdugros;;;ch;;-1;1892;1843;;441.94;
Benpat;;;fr;;-1;3211;862;;441.56;
DragonBo;;;hk;;-1;379;635;;439.03;
Carbo;;;ar;;-1;4848;1440;;438.03;
madou;;;jp;;-1;;;;436.33;
okayu;;;jp;;-1;;;;436.33;
poll;;;jp;;-1;;;;436.33;
VicVega;;;mx;;-1;;;;433.93;
_pedro___;;;de;;-1;;;;433.39;
Erich Müller;;;de;;-1;1172;801;;433.19;
Huehuecoyotl22;;;dk;;-1;;;;431.00;
SonyToprano;;;tr;;-1;5067;284;;428.96;
Dobbs351;;;dk;;-1;5241;472;;425.53;
Odette;;;cz;;-1;1253;589;;419.00;
神明与她;ShenMing;;cn;;-1;663;208;;417.33;
Kanon;;;cn;;-1;;;;417.33;
西甲球王;;;cn;;-1;;;;417.33;
Abai;;;cn;;-1;;;;416.67;
_EMA_Kiss;;;cn;;-1;;;;416.67;
Jax_;;;cn;;-1;;;;416.66;
TeMo;;;ma;;-1;1035;1037;;415.72;
Juyhou;;;fi;;-1;476;1280;;414.39;
Chocobo;toko;;jp;;-1;186;461;;413.75;
dodonpa;;;jp;;-1;;;;413.75;
DemonSheep;;;tw;;-1;2160;1263;;411.38;
Zetnus;;;de;;-1;248;50;;408.00;
Dfx2;;;fr;;-1;2656;2548;;406.68;
_FJ_psNps;;;cn;;-1;;;;406.44;
Jerry;;;us;;-1;670;401;;405.06;
dave_hun;;;hu;;-1;3779;725;;403.00;
Kougrialka;;;fr;;-1;216;787;;400.63;
SiFly;;;nl;;-1;16;36;;400.00;
banztenak_19;;;de;;-1;667;2203;;400.00;
Whistler;;;us;;-1;221;81;;400.00;
Keldim;;;ar;;-1;1352;81;;400.00;
MyteaLlama;;;us;;-1;;;;400.00;
Ass_Kickerwa;SuperMamaReddy;;in;;-1;613;2317;;397.22;
